39,5,9,4,0,1,4,1,1,0,40,0
50,4,9,2,3,0,4,1,0,0,13,0
38,2,11,0,5,1,4,1,0,0,40,0
53,2,1,2,5,0,2,1,0,0,40,0
28,2,9,2,9,5,2,0,0,0,40,0
37,2,12,2,3,5,4,0,0,0,40,0
49,2,6,3,7,1,2,0,0,0,16,0
52,4,11,2,3,0,4,1,0,0,45,1
31,2,12,4,9,1,4,0,2,0,50,1
42,2,9,2,3,0,4,1,1,0,40,1
37,2,15,2,3,0,2,1,0,0,80,1
30,5,9,2,9,0,1,1,0,0,40,1
23,2,9,4,0,3,4,0,0,0,30,0
32,2,7,4,11,1,2,1,0,0,50,0
34,2,5,2,13,0,0,1,0,0,45,0
25,4,11,4,4,3,4,1,0,0,35,0
32,2,11,4,6,4,4,1,0,0,40,0
38,2,1,2,11,0,4,1,0,0,50,0
43,4,12,0,3,4,4,0,0,0,45,1
40,2,10,2,9,0,4,1,0,0,60,1
54,2,11,5,7,4,2,0,0,0,20,0
35,0,6,2,4,0,2,1,0,0,40,0
43,2,1,2,13,0,4,1,0,2,40,0
59,2,11,0,12,4,4,0,0,0,40,0
56,1,9,2,12,0,4,1,0,0,40,1
19,2,11,4,2,3,4,1,0,0,40,0
39,2,11,0,3,1,4,1,0,0,80,0
49,2,11,2,2,0,4,1,0,0,40,0
23,1,7,4,10,1,4,1,0,0,52,0
20,2,15,4,11,3,2,1,0,0,44,0
45,2,9,0,3,3,4,1,0,1,40,0
30,0,15,2,0,3,4,1,0,0,40,0
22,5,15,2,7,0,2,1,0,0,15,0
48,2,1,4,6,4,4,1,0,0,40,0
21,2,15,4,6,3,4,1,0,0,40,0
19,2,11,1,0,5,4,0,0,0,25,0
48,4,7,2,9,0,4,1,0,0,40,0
31,2,6,2,6,0,4,1,0,0,43,0
53,4,9,2,9,0,4,1,0,0,40,0
24,2,9,2,12,0,4,1,0,0,50,0
49,2,11,5,0,4,4,0,0,0,40,0
25,2,11,4,5,1,4,1,0,0,35,0
57,0,9,2,9,0,2,1,0,0,40,1
53,2,11,2,6,0,4,1,0,0,38,0
44,2,12,0,3,4,4,0,0,0,40,0
41,5,8,2,2,0,4,1,0,0,40,0
29,2,8,4,9,1,4,1,0,0,43,0
25,2,15,2,3,5,3,0,0,0,40,0
47,2,14,2,9,5,4,0,0,2,60,1
50,0,9,0,3,1,4,1,0,0,55,1
47,3,11,0,3,1,4,1,0,0,60,0
43,2,15,2,12,0,4,1,0,0,40,1
46,2,4,2,6,0,4,1,0,0,40,0
35,2,8,2,7,0,4,1,0,0,40,0
41,2,11,2,0,0,4,1,0,0,48,0
30,2,11,2,6,0,4,1,1,0,40,0
30,2,9,2,11,0,4,1,1,0,40,0
48,2,11,2,13,0,4,1,0,0,40,0
42,2,10,2,9,0,4,1,0,0,45,1
29,2,15,0,12,1,4,1,0,0,58,0
36,2,11,2,2,0,4,1,0,0,40,0
28,2,15,0,0,1,4,0,0,0,40,0
53,2,11,2,0,5,4,0,0,0,40,1
49,3,15,2,3,0,4,1,0,0,50,1
19,2,15,4,9,3,4,1,0,0,32,0
31,2,9,5,11,3,2,0,0,0,40,0
29,4,9,2,11,0,4,1,0,0,70,1
23,2,15,4,6,1,4,1,0,0,40,0
79,2,15,2,9,2,4,1,0,0,20,0
27,2,11,4,7,3,4,1,0,0,40,0
40,2,7,2,0,0,4,1,0,0,40,0
18,2,1,4,7,3,4,0,0,0,22,0
31,1,5,2,4,0,4,1,0,0,40,0
18,2,11,4,11,1,4,1,0,0,30,0
52,2,9,2,7,0,4,1,0,0,40,0
46,2,11,2,7,5,4,0,0,0,40,0
59,2,11,2,11,0,4,1,0,0,48,0
44,2,11,0,2,1,4,0,2,0,40,1
53,2,11,0,11,3,4,0,0,0,35,0
49,1,11,2,10,0,4,1,0,0,40,1
33,2,12,2,9,0,4,1,0,0,50,0
30,2,6,4,11,1,4,1,0,0,40,0
43,0,10,4,9,1,4,0,0,0,50,1
57,2,8,2,9,0,4,1,0,0,40,0
37,2,15,0,2,4,4,0,0,0,40,0
28,2,15,0,6,4,2,0,0,0,25,0
34,1,9,2,10,0,4,1,0,0,40,1
29,1,15,4,5,1,4,1,0,0,50,0
48,4,10,2,9,0,4,1,0,2,60,1
37,2,15,2,11,0,4,1,0,0,48,1
48,2,7,0,3,4,4,0,0,0,40,0
32,0,11,4,7,3,2,1,0,0,40,0
76,2,12,2,3,0,4,1,0,0,40,1
44,2,9,2,3,0,4,1,2,0,60,1
47,4,12,4,9,1,4,0,0,0,50,0
20,2,15,4,12,3,4,0,0,0,40,0
